"X.1" "Class" "Metabolite.abbreviation" "Metabolite" "Platform" "Data.type" "X"
"91" 91 "glycerophospholipids" "lysoPC a C20:4" "lysoPC a C20:4" "FIA-MS/MS" "Semi-quantified" NA
"92" 92 "glycerophospholipids" "lysoPC a C24:0" "lysoPC a C24:0" "FIA-MS/MS" "Semi-quantified" NA
"93" 93 "glycerophospholipids" "lysoPC a C26:0" "lysoPC a C26:0" "FIA-MS/MS" "Semi-quantified" NA
"94" 94 "glycerophospholipids" "lysoPC a C26:1" "lysoPC a C26:1" "FIA-MS/MS" "Semi-quantified" NA
"95" 95 "glycerophospholipids" "lysoPC a C28:0" "lysoPC a C28:0" "FIA-MS/MS" "Semi-quantified" NA
"96" 96 "glycerophospholipids" "lysoPC a C28:1" "lysoPC a C28:1" "FIA-MS/MS" "Semi-quantified" NA
"97" 97 "glycerophospholipids" "PC aa C24:0" "PC aa C24:0" "FIA-MS/MS" "Semi-quantified" NA
"98" 98 "glycerophospholipids" "PC aa C26:0" "PC aa C26:0" "FIA-MS/MS" "< LOD" NA
"99" 99 "glycerophospholipids" "PC aa C28:1" "PC aa C28:1" "FIA-MS/MS" "Semi-quantified" NA
"100" 100 "glycerophospholipids" "PC aa C30:0" "PC aa C30:0" "FIA-MS/MS" "Semi-quantified" NA
"101" 101 "glycerophospholipids" "PC aa C30:2" "PC aa C30:2" "FIA-MS/MS" "< LOD" NA
"102" 102 "glycerophospholipids" "PC aa C32:0" "PC aa C32:0" "FIA-MS/MS" "Semi-quantified" NA
"103" 103 "glycerophospholipids" "PC aa C32:1" "PC aa C32:1" "FIA-MS/MS" "Semi-quantified" NA
"104" 104 "glycerophospholipids" "PC aa C32:2" "PC aa C32:2" "FIA-MS/MS" "< LOD" NA
"105" 105 "glycerophospholipids" "PC aa C32:3" "PC aa C32:3" "FIA-MS/MS" "Semi-quantified" NA
"106" 106 "glycerophospholipids" "PC aa C34:1" "PC aa C34:1" "FIA-MS/MS" "Semi-quantified" NA
"107" 107 "glycerophospholipids" "PC aa C34:2" "PC aa C34:2" "FIA-MS/MS" "Semi-quantified" NA
"108" 108 "glycerophospholipids" "PC aa C34:3" "PC aa C34:3" "FIA-MS/MS" "Semi-quantified" NA
"109" 109 "glycerophospholipids" "PC aa C34:4" "PC aa C34:4" "FIA-MS/MS" "Semi-quantified" NA
"110" 110 "glycerophospholipids" "PC aa C36:0" "PC aa C36:0" "FIA-MS/MS" "Semi-quantified" NA
"111" 111 "glycerophospholipids" "PC aa C36:1" "PC aa C36:1" "FIA-MS/MS" "Semi-quantified" NA
"112" 112 "glycerophospholipids" "PC aa C36:2" "PC aa C36:2" "FIA-MS/MS" "Semi-quantified" NA
"113" 113 "glycerophospholipids" "PC aa C36:3" "PC aa C36:3" "FIA-MS/MS" "Semi-quantified" NA
"114" 114 "glycerophospholipids" "PC aa C36:4" "PC aa C36:4" "FIA-MS/MS" "Semi-quantified" NA
"115" 115 "glycerophospholipids" "PC aa C36:5" "PC aa C36:5" "FIA-MS/MS" "Semi-quantified" NA
"116" 116 "glycerophospholipids" "PC aa C36:6" "PC aa C36:6" "FIA-MS/MS" "QC-CV>25%" NA
"117" 117 "glycerophospholipids" "PC aa C38:0" "PC aa C38:0" "FIA-MS/MS" "Semi-quantified" NA
"118" 118 "glycerophospholipids" "PC aa C38:1" "PC aa C38:1" "FIA-MS/MS" "Semi-quantified" NA
"119" 119 "glycerophospholipids" "PC aa C38:3" "PC aa C38:3" "FIA-MS/MS" "Semi-quantified" NA
"120" 120 "glycerophospholipids" "PC aa C38:4" "PC aa C38:4" "FIA-MS/MS" "Semi-quantified" NA
"121" 121 "glycerophospholipids" "PC aa C38:5" "PC aa C38:5" "FIA-MS/MS" "Semi-quantified" NA
"122" 122 "glycerophospholipids" "PC aa C38:6" "PC aa C38:6" "FIA-MS/MS" "Semi-quantified" NA
"123" 123 "glycerophospholipids" "PC aa C40:1" "PC aa C40:1" "FIA-MS/MS" "Semi-quantified" NA
"124" 124 "glycerophospholipids" "PC aa C40:2" "PC aa C40:2" "FIA-MS/MS" "Semi-quantified" NA
"125" 125 "glycerophospholipids" "PC aa C40:3" "PC aa C40:3" "FIA-MS/MS" "Semi-quantified" NA
"126" 126 "glycerophospholipids" "PC aa C40:4" "PC aa C40:4" "FIA-MS/MS" "Semi-quantified" NA
"127" 127 "glycerophospholipids" "PC aa C40:5" "PC aa C40:5" "FIA-MS/MS" "Semi-quantified" NA
"128" 128 "glycerophospholipids" "PC aa C40:6" "PC aa C40:6" "FIA-MS/MS" "Semi-quantified" NA
"129" 129 "glycerophospholipids" "PC aa C42:0" "PC aa C42:0" "FIA-MS/MS" "Semi-quantified" NA
"130" 130 "glycerophospholipids" "PC aa C42:1" "PC aa C42:1" "FIA-MS/MS" "Semi-quantified" NA
"131" 131 "glycerophospholipids" "PC aa C42:2" "PC aa C42:2" "FIA-MS/MS" "Semi-quantified" NA
"132" 132 "glycerophospholipids" "PC aa C42:4" "PC aa C42:4" "FIA-MS/MS" "Semi-quantified" NA
"133" 133 "glycerophospholipids" "PC aa C42:5" "PC aa C42:5" "FIA-MS/MS" "Semi-quantified" NA
"134" 134 "glycerophospholipids" "PC aa C42:6" "PC aa C42:6" "FIA-MS/MS" "Semi-quantified" NA
"135" 135 "glycerophospholipids" "PC ae C30:0" "PC ae C30:0" "FIA-MS/MS" "Semi-quantified" NA
"136" 136 "glycerophospholipids" "PC ae C30:1" "PC ae C30:1" "FIA-MS/MS" "< LOD" NA
"137" 137 "glycerophospholipids" "PC ae C30:2" "PC ae C30:2" "FIA-MS/MS" "< LOD" NA
"138" 138 "glycerophospholipids" "PC ae C32:1" "PC ae C32:1" "FIA-MS/MS" "Semi-quantified" NA
"139" 139 "glycerophospholipids" "PC ae C32:2" "PC ae C32:2" "FIA-MS/MS" "Semi-quantified" NA
"140" 140 "glycerophospholipids" "PC ae C34:0" "PC ae C34:0" "FIA-MS/MS" "Semi-quantified" NA
"141" 141 "glycerophospholipids" "PC ae C34:1" "PC ae C34:1" "FIA-MS/MS" "Semi-quantified" NA
"142" 142 "glycerophospholipids" "PC ae C34:2" "PC ae C34:2" "FIA-MS/MS" "Semi-quantified" NA
"143" 143 "glycerophospholipids" "PC ae C34:3" "PC ae C34:3" "FIA-MS/MS" "Semi-quantified" NA
"144" 144 "glycerophospholipids" "PC ae C36:0" "PC ae C36:0" "FIA-MS/MS" "Semi-quantified" NA
"145" 145 "glycerophospholipids" "PC ae C36:1" "PC ae C36:1" "FIA-MS/MS" "Semi-quantified" NA
"146" 146 "glycerophospholipids" "PC ae C36:2" "PC ae C36:2" "FIA-MS/MS" "Semi-quantified" NA
"147" 147 "glycerophospholipids" "PC ae C36:3" "PC ae C36:3" "FIA-MS/MS" "Semi-quantified" NA
"148" 148 "glycerophospholipids" "PC ae C36:4" "PC ae C36:4" "FIA-MS/MS" "Semi-quantified" NA
"149" 149 "glycerophospholipids" "PC ae C36:5" "PC ae C36:5" "FIA-MS/MS" "Semi-quantified" NA
"150" 150 "glycerophospholipids" "PC ae C38:0" "PC ae C38:0" "FIA-MS/MS" "Semi-quantified" NA
"151" 151 "glycerophospholipids" "PC ae C38:1" "PC ae C38:1" "FIA-MS/MS" "QC-CV>25%" NA
"152" 152 "glycerophospholipids" "PC ae C38:2" "PC ae C38:2" "FIA-MS/MS" "Semi-quantified" NA
"153" 153 "glycerophospholipids" "PC ae C38:3" "PC ae C38:3" "FIA-MS/MS" "Semi-quantified" NA
"154" 154 "glycerophospholipids" "PC ae C38:4" "PC ae C38:4" "FIA-MS/MS" "Semi-quantified" NA
"155" 155 "glycerophospholipids" "PC ae C38:5" "PC ae C38:5" "FIA-MS/MS" "Semi-quantified" NA
"156" 156 "glycerophospholipids" "PC ae C38:6" "PC ae C38:6" "FIA-MS/MS" "Semi-quantified" NA
"157" 157 "glycerophospholipids" "PC ae C40:1" "PC ae C40:1" "FIA-MS/MS" "Semi-quantified" NA
"158" 158 "glycerophospholipids" "PC ae C40:2" "PC ae C40:2" "FIA-MS/MS" "Semi-quantified" NA
"159" 159 "glycerophospholipids" "PC ae C40:3" "PC ae C40:3" "FIA-MS/MS" "Semi-quantified" NA
"160" 160 "glycerophospholipids" "PC ae C40:4" "PC ae C40:4" "FIA-MS/MS" "Semi-quantified" NA
"161" 161 "glycerophospholipids" "PC ae C40:5" "PC ae C40:5" "FIA-MS/MS" "Semi-quantified" NA
"162" 162 "glycerophospholipids" "PC ae C40:6" "PC ae C40:6" "FIA-MS/MS" "Semi-quantified" NA
"163" 163 "glycerophospholipids" "PC ae C42:0" "PC ae C42:0" "FIA-MS/MS" "Semi-quantified" NA
"164" 164 "glycerophospholipids" "PC ae C42:1" "PC ae C42:1" "FIA-MS/MS" "Semi-quantified" NA
"165" 165 "glycerophospholipids" "PC ae C42:2" "PC ae C42:2" "FIA-MS/MS" "Semi-quantified" NA
"166" 166 "glycerophospholipids" "PC ae C42:3" "PC ae C42:3" "FIA-MS/MS" "Semi-quantified" NA
"167" 167 "glycerophospholipids" "PC ae C42:4" "PC ae C42:4" "FIA-MS/MS" "Semi-quantified" NA
"168" 168 "glycerophospholipids" "PC ae C42:5" "PC ae C42:5" "FIA-MS/MS" "Semi-quantified" NA
"169" 169 "glycerophospholipids" "PC ae C44:3" "PC ae C44:3" "FIA-MS/MS" "Semi-quantified" NA
"170" 170 "glycerophospholipids" "PC ae C44:4" "PC ae C44:4" "FIA-MS/MS" "Semi-quantified" NA
"171" 171 "glycerophospholipids" "PC ae C44:5" "PC ae C44:5" "FIA-MS/MS" "Semi-quantified" NA
"172" 172 "glycerophospholipids" "PC ae C44:6" "PC ae C44:6" "FIA-MS/MS" "Semi-quantified" NA
"173" 173 "sphingolipids" "SM (OH) C14:1" "SM (OH) C14:1" "FIA-MS/MS" "Semi-quantified" NA
"174" 174 "sphingolipids" "SM (OH) C16:1" "SM (OH) C16:1" "FIA-MS/MS" "Semi-quantified" NA
"175" 175 "sphingolipids" "SM (OH) C22:1" "SM (OH) C22:1" "FIA-MS/MS" "Semi-quantified" NA
"176" 176 "sphingolipids" "SM (OH) C22:2" "SM (OH) C22:2" "FIA-MS/MS" "Semi-quantified" NA
"177" 177 "sphingolipids" "SM (OH) C24:1" "SM (OH) C24:1" "FIA-MS/MS" "Semi-quantified" NA
"178" 178 "sphingolipids" "SM C16:0" "SM C16:0" "FIA-MS/MS" "Semi-quantified" NA
"179" 179 "sphingolipids" "SM C16:1" "SM C16:1" "FIA-MS/MS" "Semi-quantified" NA
"180" 180 "sphingolipids" "SM C18:0" "SM C18:0" "FIA-MS/MS" "Semi-quantified" NA
"181" 181 "sphingolipids" "SM C18:1" "SM C18:1" "FIA-MS/MS" "Semi-quantified" NA
"182" 182 "sphingolipids" "SM C20:2" "SM C20:2" "FIA-MS/MS" "Semi-quantified" NA
"183" 183 "sphingolipids" "SM C22:3" "SM C22:3" "FIA-MS/MS" "< LOD" NA
"184" 184 "sphingolipids" "SM C24:0" "SM C24:0" "FIA-MS/MS" "Semi-quantified" NA
"185" 185 "sphingolipids" "SM C24:1" "SM C24:1" "FIA-MS/MS" "Semi-quantified" NA
"186" 186 "sphingolipids" "SM C26:0" "SM C26:0" "FIA-MS/MS" "QC-CV>25%" NA
"187" 187 "sphingolipids" "SM C26:1" "SM C26:1" "FIA-MS/MS" "QC-CV>25%" NA
"188" 188 "sugars" "H1" "hexose" "FIA-MS/MS" "< LOD" NA
